Type product;Brand;Model;Min price;Max price;Num offers;URL
Televisor;Philips;55OLED705;23 590;24 999 Kč;v 11 obchodech;https://3b03526a0dbc2e6018e63348d8d47352.heureka.cz/0/31855.click?tt=c63e9eee964e2ddb134c835f0cecfa584195c044a9d5bdbc765fc16fd264bfe52f953ca93b31d0bc2b6f6e3a257680ad589b2e5989054774fc26603dc4eb94ba0260fafd0084cebe6df04c68465977c53df30b87dce27c31ed442baacdabf114d60d74ec951a5c983ab3f4f8199bff289d44d622a3d445f813079340a52cd10e0e22357f2554b419a7d2a837ce211013fe5da74918b0d75a3767b94d3930e781c8e469fc2d0f5008dca3b4551904ef1a3020ed75e1bbfc78c6473384f7f2a936a93029acf712be17ab216558e66d92ee0da16880e12bea5aba92c9000cf8dc641d986361e9a4bb3b5330e5909ca0726135128f663e0c517291006bc70acd29e8f9cfff018e631fb903d09762c6d64cf8bf114403ff25da1818c95462201e4e02f1a2fe7472870d32c7e6a5fd3615b22d6f864cc2a653ee4951035dff57b1168a05c30ff9fe0607e295753aed84789b50a77660782ee75c5a16e793ed959743e3d7ffc90d80601beedd3beb92c6006f8207dd387d477dc3f97164bd7a61000fb397fc718d7c7fe24e3c8a855a88851be552c415f80bafd7ed519cfe28f3dd317ea996dfff1065f750200284609e4254fc5873402a0bd52e20a4e2e95a349e189ff3509fdc3835ce9f0728d3d54534344184e4e939880968cf41feb1fdc2cfb723ab16954abe821577a0f21b4d41976b7890d2bfa715f8aa3a37571d2640c521d4d52b7dd4b93da7a1841e4f502772fec60e1ade61c14d47aedc1375165133ffbf&positionId=category_advert_pos0&removedProducts=&guid=d688f813-aec2-4e03-bad1-1c27b0e05b5e&m=0
Televisor;Samsung;UE43TU7172;8 990;11 990 Kč;v 29 obchodech;https://televize.heureka.cz/samsung-ue43tu7172/
Televisor;LG;OLED55CX;26 732;62 909 Kč;v 32 obchodech;https://televize.heureka.cz/lg-oled55cx/
Televisor;Philips;58PUS8555;16 686;32 822 Kč;v 5 obchodech;https://3b03526a0dbc2e6018e63348d8d47352.heureka.cz/0/31856.click?tt=c63e9eee964e2ddb134c835f0cecfa584195c044a9d5bdbc765fc16fd264bfe52f953ca93b31d0bc2b6f6e3a257680ad589b2e5989054774fc26603dc4eb94ba0260fafd0084cebe6df04c68465977c5f6cc118ae31c30c3bbcda5245675306805fe4a50f0567b9b63aaee4abc4bf2c93f2d66dd9a6bd690de6df2ce35b5be73b6cdf2f3f29149ef643bcc0d08d942f8ac7c3a6245cf609ba865f5e756a52a3bd848e62d5a33c85581138b9ab94f8aaf33110459c6c65131989dbe0ad91b6de050c2b49da7ba3311a618160db8e2dbbe64fb4c46051fb56fd3d097e8f28f4ccfff0f267a853349b0c6ee5aeb465950e42c3e29dbae657568e5b968e804f4dab4a9e0e71671c83485d2a2b86b3b867c0cf0cd97ea467c7f07a2e7e6c7eb574ed7e84c695a16563e243bd44e56e673189c6c3584d4b5bee198e854ae8800da15b3c56841a6b7ef08b5f6246e68fc84e422f47fed652891ff801ec463ce24a177670ff696f4e0bcb6100459cc695111e3b2dc3143e139a0670c96fdc8f7a01f7f90fac6db25f67f712d85a64faf5eb2bd0c26992c04deb7d88ebf28c69c31fc6682e94ab5057c2c97e2c3fad949539264a02758748ed2c40bb5b0d544980753146b352082cdb33e9da43da5352877fbbb021788f1cebf768b4138144ef4b445c450556c252d22e81a9db49ee12145db04cf0631512d8f69d626f4f2425166f01ef661e39af2bc150136dcfd9f307ad737868954a99dea91ffb235117fd3254ad059&positionId=category_advert_pos1&removedProducts=&guid=147f1b9c-3464-4bbf-836e-c99e2d2da3bc&m=0
Televisor;Samsung;QE50Q64T;12 733;18 990 Kč;v 40 obchodech;https://televize.heureka.cz/samsung-qe50q64t/
Televisor;Samsung;QE55Q64T;14 618;20 990 Kč;v 22 obchodech;https://televize.heureka.cz/samsung-qe55q64t/
Televisor;Panasonic;TX-55HZ980E;27 436;29 990 Kč;v 12 obchodech;https://3b03526a0dbc2e6018e63348d8d47352.heureka.cz/0/31824.click?tt=c63e9eee964e2ddb134c835f0cecfa584195c044a9d5bdbc765fc16fd264bfe52f953ca93b31d0bc2b6f6e3a257680ad589b2e5989054774fc26603dc4eb94ba0260fafd0084cebe6df04c68465977c575a68864149bbd229dad008bf89037d7ed13d049259d3c867f901b4c1efda157718e92a0e00bd242b4895c08786a23124bca629c51aefd1cc7c94d20d87610fc217cd6eb1fbe000dd869821b0bc931f9df33796aab31b355eb3a945cb1145a07c2e9f47d511258651d42d97faf2c1296d190f73bb40be9cac3de93e698da9cee36222bcb5d25df1abc9bca5f125fac056b1a4c9f38175b4ef57d18e7617823880811aa581db008d921b2ad500b80bf3347d783cf84f8fd830ab818be2c86d6d244155c11cdc0993c4dc739202f122a9e750d84dcbda9575f22d7de585e612db8202d6893ef0aad62f722dc919a46c1a5dd647b7358602b029eb74e08de208fec967a9ef8025a35442ce8db8cb387798ea482552fa021248f633dbcf86de0ff0e217f98ae8165df4a8944de1f6889e191be37b3cc2d65179f8d226f9e18396ee9cd63444cbe43b4c82cabf908322ae562959393ab5f96cdc61cc597d93f8c197a3280eda057c59200369105bcd990b49a1cc962d9578cfd52898df5ebdca949f501112363228e0502097108000c3892c11ed86974f18c3e4943dd80c5a114ddac468637706520df80b828a652c62d36216035129f5adbf4763d832e481acae4a7ad0750154e5e686ef63a16a6acf93ac2&positionId=category_advert_pos2&removedProducts=&guid=07607005-f19b-44d9-bdee-4887da84c6be&m=0
Televisor;LG;55UN7100;9 758;14 958 Kč;v 32 obchodech;https://televize.heureka.cz/lg-55un7100/
Televisor;Samsung;QE55Q80T;21 184;29 990 Kč;v 61 obchodech;https://televize.heureka.cz/samsung-qe55q80t/
Televisor;LG;49UN7100;8 780;13 062 Kč;v 37 obchodech;https://televize.heureka.cz/lg-49un7100/
